Date,open,high,low,close,volume
2017-01-13 00:00:00+05:30,123.73,123.75,121.35,122.98,26842
2017-01-16 00:00:00+05:30,123.15,124.25,121.5,121.98,45292
2017-01-17 00:00:00+05:30,120.4,124.03,120.4,122.75,39056
2017-01-18 00:00:00+05:30,121.55,125.93,121.55,124.83,60342
2017-01-19 00:00:00+05:30,123.75,131.65,123.05,129.48,198268
2017-01-20 00:00:00+05:30,130.45,130.65,126.3,127.58,128624
2017-01-23 00:00:00+05:30,128.33,128.75,122.05,123.25,147010
2017-01-24 00:00:00+05:30,123.7,125.88,123.38,125.5,50932
2017-01-25 00:00:00+05:30,126.7,131.18,124.5,127.45,160942
2017-01-27 00:00:00+05:30,127.68,129.95,125.05,125.6,52390
2017-01-30 00:00:00+05:30,126.5,126.98,122.05,122.28,86120
2017-01-31 00:00:00+05:30,122.08,123.25,118.38,120.33,197240
2017-02-01 00:00:00+05:30,120.0,125.25,119.85,123.98,52854
2017-02-02 00:00:00+05:30,123.35,126.88,121.15,124.65,80584
2017-02-03 00:00:00+05:30,124.0,127.2,122.55,124.1,323474
2017-02-06 00:00:00+05:30,125.5,127.28,123.53,126.73,298466
2017-02-07 00:00:00+05:30,127.5,127.5,124.08,124.65,887660
2017-02-08 00:00:00+05:30,126.25,126.25,120.0,122.38,73020
2017-02-09 00:00:00+05:30,123.5,124.93,121.58,122.85,184418
2017-02-10 00:00:00+05:30,121.53,124.93,121.53,123.88,33048
2017-02-13 00:00:00+05:30,124.95,127.28,122.03,125.13,83720
2017-02-14 00:00:00+05:30,125.08,125.73,122.5,123.33,55994
2017-02-15 00:00:00+05:30,122.5,124.7,120.0,120.45,44486
2017-02-16 00:00:00+05:30,120.05,121.95,118.95,119.68,57062
2017-02-17 00:00:00+05:30,120.75,121.93,117.05,117.55,111442
2017-02-20 00:00:00+05:30,117.0,120.08,117.0,118.23,63260
2017-02-21 00:00:00+05:30,119.28,119.3,115.28,115.98,91584
2017-02-22 00:00:00+05:30,117.93,117.93,113.55,114.05,386492
2017-02-23 00:00:00+05:30,114.05,116.5,113.3,114.08,85000
2017-02-27 00:00:00+05:30,114.0,115.0,112.63,114.0,60332
2017-02-28 00:00:00+05:30,114.05,117.2,114.05,114.88,149218
2017-03-01 00:00:00+05:30,114.5,121.38,114.0,120.08,1607806
2017-03-02 00:00:00+05:30,120.5,121.38,116.93,117.53,851540
2017-03-03 00:00:00+05:30,117.65,117.65,114.5,115.0,140688
2017-03-06 00:00:00+05:30,114.03,117.5,114.03,115.15,239536
2017-03-07 00:00:00+05:30,115.0,116.5,112.63,115.33,460378
2017-03-08 00:00:00+05:30,117.5,117.5,114.55,116.55,214702
2017-03-09 00:00:00+05:30,116.0,120.45,115.15,117.43,239600
2017-03-10 00:00:00+05:30,117.65,118.88,116.6,116.9,103908
2017-03-14 00:00:00+05:30,117.63,118.48,115.23,116.68,703190
2017-03-15 00:00:00+05:30,118.3,118.3,115.28,115.98,221618
2017-03-16 00:00:00+05:30,114.6,120.25,114.6,119.13,213230
2017-03-17 00:00:00+05:30,119.73,124.48,118.58,123.18,446576
2017-03-20 00:00:00+05:30,125.0,125.0,120.55,121.3,78658
2017-03-21 00:00:00+05:30,119.5,120.85,115.6,116.93,152468
2017-03-22 00:00:00+05:30,116.5,118.5,115.25,117.13,235942
2017-03-23 00:00:00+05:30,117.2,120.6,117.05,119.9,148394
2017-03-24 00:00:00+05:30,119.93,120.48,117.08,118.43,855262
2017-03-27 00:00:00+05:30,118.2,119.45,117.18,118.23,72350
2017-03-28 00:00:00+05:30,118.6,118.65,115.6,117.83,2979902
2017-03-29 00:00:00+05:30,116.88,121.5,116.23,118.68,240172
2017-03-30 00:00:00+05:30,117.25,118.75,116.85,117.1,104180
2017-03-31 00:00:00+05:30,117.53,119.75,117.03,118.83,242968
2017-04-03 00:00:00+05:30,121.0,121.6,118.1,119.1,329762
2017-04-05 00:00:00+05:30,117.55,121.0,117.55,119.15,393044
2017-04-06 00:00:00+05:30,119.0,119.85,117.05,117.43,54696
2017-04-07 00:00:00+05:30,118.4,118.4,116.68,117.08,147548
2017-04-10 00:00:00+05:30,117.5,121.0,117.5,119.53,137038
2017-04-11 00:00:00+05:30,121.45,121.45,116.78,118.1,183738
2017-04-12 00:00:00+05:30,118.98,119.5,115.28,116.2,179392
2017-04-13 00:00:00+05:30,117.33,120.38,116.5,119.0,118344
2017-04-17 00:00:00+05:30,118.65,119.75,117.03,117.6,68374
2017-04-18 00:00:00+05:30,118.45,118.83,116.9,117.43,90416
2017-04-19 00:00:00+05:30,118.3,118.33,116.6,117.43,70866
2017-04-20 00:00:00+05:30,117.73,118.43,116.53,116.9,42968
2017-04-21 00:00:00+05:30,118.5,119.48,116.58,118.55,129508
2017-04-24 00:00:00+05:30,119.98,121.2,117.55,120.68,131780
2017-04-25 00:00:00+05:30,120.63,127.48,120.03,126.63,570772
2017-04-26 00:00:00+05:30,126.8,129.7,126.3,127.5,542178
2017-04-27 00:00:00+05:30,127.48,129.0,125.7,126.8,156584
2017-04-28 00:00:00+05:30,126.95,128.9,125.13,128.35,209898
2017-05-02 00:00:00+05:30,128.58,129.25,126.33,127.45,91824
2017-05-03 00:00:00+05:30,127.63,129.0,122.98,127.23,187494
2017-05-04 00:00:00+05:30,126.5,132.33,123.4,131.0,1218542
2017-05-05 00:00:00+05:30,131.0,131.1,128.5,130.1,106278
2017-05-08 00:00:00+05:30,131.95,137.98,129.0,137.03,517044
2017-05-09 00:00:00+05:30,137.0,137.0,134.0,134.63,117700
2017-05-10 00:00:00+05:30,134.83,136.5,134.83,135.95,301508
2017-05-11 00:00:00+05:30,135.53,136.35,133.68,134.5,177930
2017-05-12 00:00:00+05:30,134.0,135.73,132.5,134.03,338260
2017-05-15 00:00:00+05:30,137.35,137.35,131.0,131.63,132302
2017-05-16 00:00:00+05:30,133.0,133.93,130.05,131.7,129614
2017-05-17 00:00:00+05:30,133.45,133.45,127.58,129.28,103316
2017-05-18 00:00:00+05:30,132.0,132.0,126.15,129.73,76872
2017-05-19 00:00:00+05:30,127.63,130.6,126.1,128.08,243842
2017-05-22 00:00:00+05:30,126.15,131.25,124.5,129.8,131626
2017-05-23 00:00:00+05:30,126.35,131.95,123.25,125.95,133154
2017-05-24 00:00:00+05:30,127.28,128.5,123.53,125.18,247252
2017-05-25 00:00:00+05:30,126.48,131.45,125.65,129.53,50860
2017-05-26 00:00:00+05:30,130.48,135.4,129.0,133.38,104052
2017-05-29 00:00:00+05:30,135.0,135.0,128.0,129.48,92284
2017-05-30 00:00:00+05:30,128.55,129.98,125.98,128.6,68874
2017-05-31 00:00:00+05:30,128.78,131.7,126.53,127.58,153874
2017-06-01 00:00:00+05:30,127.5,135.0,126.05,130.43,312778
2017-06-02 00:00:00+05:30,131.5,131.95,127.8,130.88,61764
2017-06-05 00:00:00+05:30,131.5,132.43,127.5,128.15,98032
2017-06-06 00:00:00+05:30,129.5,132.25,126.15,130.35,133724
2017-06-07 00:00:00+05:30,130.38,136.23,129.83,135.63,415344
2017-06-08 00:00:00+05:30,135.5,137.48,128.5,128.93,209058
2017-06-09 00:00:00+05:30,128.93,132.78,128.13,130.98,106810
2017-06-12 00:00:00+05:30,130.5,130.98,126.25,126.58,110422
2017-06-13 00:00:00+05:30,129.6,129.73,123.3,123.78,225954
2017-06-14 00:00:00+05:30,125.45,125.45,121.55,123.43,329086
2017-06-15 00:00:00+05:30,124.5,128.4,122.15,127.63,279142
2017-06-16 00:00:00+05:30,127.63,128.45,124.8,126.58,79324
2017-06-19 00:00:00+05:30,126.0,127.7,126.0,127.1,159416
2017-06-20 00:00:00+05:30,126.6,128.0,126.6,127.45,44330
2017-06-21 00:00:00+05:30,126.08,129.0,126.08,127.68,62444
2017-06-22 00:00:00+05:30,128.93,128.93,124.7,125.5,59776
2017-06-23 00:00:00+05:30,126.5,126.5,122.05,122.75,69716
2017-06-27 00:00:00+05:30,123.33,124.0,119.1,119.35,43226
2017-06-28 00:00:00+05:30,120.0,122.35,120.0,120.98,23116
2017-06-29 00:00:00+05:30,122.0,122.98,120.78,122.15,43832
2017-06-30 00:00:00+05:30,121.0,122.9,120.18,122.25,48480
2017-07-03 00:00:00+05:30,123.0,123.8,122.5,123.45,147116
2017-07-04 00:00:00+05:30,122.73,122.73,120.5,121.68,67070
2017-07-05 00:00:00+05:30,123.5,123.5,119.25,120.6,160714
2017-07-06 00:00:00+05:30,121.95,121.95,120.0,120.85,128650
2017-07-07 00:00:00+05:30,120.25,121.0,119.93,120.53,60098
2017-07-10 00:00:00+05:30,120.5,123.25,120.5,122.75,4968
2017-07-11 00:00:00+05:30,122.8,123.0,120.5,120.73,47872
2017-07-12 00:00:00+05:30,120.83,122.6,120.78,122.05,101362
2017-07-13 00:00:00+05:30,122.25,123.5,120.5,121.2,103530
2017-07-14 00:00:00+05:30,121.23,123.7,120.05,123.33,70114
2017-07-17 00:00:00+05:30,123.4,124.53,122.3,122.6,35614
2017-07-18 00:00:00+05:30,124.5,124.5,119.73,120.83,63228
2017-07-19 00:00:00+05:30,123.0,123.0,120.58,121.2,68776
2017-07-20 00:00:00+05:30,122.5,122.5,119.18,120.05,44682
2017-07-21 00:00:00+05:30,121.03,121.45,119.18,120.05,103398
2017-07-24 00:00:00+05:30,120.0,121.33,120.0,121.0,17940
2017-07-25 00:00:00+05:30,120.05,122.0,119.0,119.6,29632
2017-07-26 00:00:00+05:30,120.0,120.95,119.25,120.8,43050
2017-07-27 00:00:00+05:30,123.68,127.4,118.75,120.13,258474
2017-07-28 00:00:00+05:30,120.13,127.0,119.25,126.65,330862
2017-07-31 00:00:00+05:30,127.0,128.5,122.58,123.1,100418
2017-08-01 00:00:00+05:30,125.45,125.45,119.75,119.95,143886
2017-08-02 00:00:00+05:30,120.0,121.43,120.0,120.98,32810
2017-08-03 00:00:00+05:30,121.5,124.68,120.5,123.43,151356
2017-08-04 00:00:00+05:30,122.5,125.85,122.13,123.8,136522
2017-08-07 00:00:00+05:30,126.23,127.75,123.8,125.13,161848
2017-08-08 00:00:00+05:30,124.5,126.0,122.5,123.43,44486
2017-08-09 00:00:00+05:30,121.28,123.43,120.58,121.13,44462
2017-08-10 00:00:00+05:30,120.95,122.28,119.1,120.25,75428
2017-08-11 00:00:00+05:30,119.0,124.5,118.53,123.48,131476
2017-08-14 00:00:00+05:30,123.48,132.88,121.08,129.9,161566
2017-08-16 00:00:00+05:30,129.35,133.0,124.63,128.68,177148
2017-08-17 00:00:00+05:30,130.25,132.55,128.65,132.23,236940
2017-08-18 00:00:00+05:30,131.6,131.6,129.15,129.9,1156738
2017-08-21 00:00:00+05:30,131.0,131.0,128.55,129.88,218706
2017-08-22 00:00:00+05:30,129.0,130.5,127.7,128.98,123010
2017-08-23 00:00:00+05:30,128.5,130.75,128.5,130.55,153158
2017-08-24 00:00:00+05:30,132.4,136.38,129.75,134.85,167288
2017-08-28 00:00:00+05:30,135.08,139.5,131.28,137.98,279682
2017-08-29 00:00:00+05:30,137.45,137.45,131.08,132.53,152480
2017-08-30 00:00:00+05:30,132.48,141.0,132.3,139.93,529904
2017-08-31 00:00:00+05:30,141.05,142.95,134.43,135.3,303556
2017-09-01 00:00:00+05:30,135.1,137.25,132.6,133.18,291436
2017-09-04 00:00:00+05:30,134.2,134.25,130.95,132.0,59366
2017-09-05 00:00:00+05:30,133.75,134.7,131.55,134.38,102366
2017-09-06 00:00:00+05:30,134.4,134.98,131.03,131.88,131890
2017-09-07 00:00:00+05:30,132.03,132.03,128.53,128.85,169258
2017-09-08 00:00:00+05:30,129.98,132.2,128.05,129.55,64776
2017-09-11 00:00:00+05:30,129.48,130.45,127.53,129.95,220794
2017-09-12 00:00:00+05:30,129.25,130.9,127.05,127.95,100282
2017-09-13 00:00:00+05:30,127.83,128.35,126.5,126.78,109142
2017-09-14 00:00:00+05:30,127.5,128.35,126.05,127.48,43222
2017-09-15 00:00:00+05:30,127.0,130.23,127.0,128.28,82016
2017-09-18 00:00:00+05:30,128.3,130.75,128.0,130.03,502804
2017-09-19 00:00:00+05:30,134.85,134.85,131.33,132.85,95908
2017-09-20 00:00:00+05:30,132.05,132.98,129.05,130.65,167166
2017-09-21 00:00:00+05:30,131.0,131.95,128.03,128.53,45164
2017-09-22 00:00:00+05:30,128.0,129.68,123.5,124.25,109828
2017-09-25 00:00:00+05:30,124.25,124.25,120.18,122.5,86274
2017-09-26 00:00:00+05:30,122.5,124.95,121.78,123.68,23954
2017-09-27 00:00:00+05:30,124.2,125.5,121.75,123.0,85594
2017-09-28 00:00:00+05:30,123.0,125.5,122.75,124.7,53072
2017-09-29 00:00:00+05:30,126.0,126.95,125.0,125.68,92662
2017-10-03 00:00:00+05:30,125.5,126.78,125.18,126.18,136864
2017-10-04 00:00:00+05:30,127.6,127.6,125.55,125.88,54080
2017-10-05 00:00:00+05:30,125.6,135.0,124.08,134.05,294956
2017-10-06 00:00:00+05:30,135.5,135.7,131.28,133.25,105590
2017-10-09 00:00:00+05:30,134.5,134.95,131.05,133.0,94784
2017-10-10 00:00:00+05:30,133.03,133.48,131.53,132.98,57540
2017-10-11 00:00:00+05:30,132.5,134.4,132.5,132.98,126788
2017-10-12 00:00:00+05:30,133.58,133.7,132.5,133.1,114212
2017-10-13 00:00:00+05:30,133.28,134.43,133.23,133.5,147558
2017-10-16 00:00:00+05:30,132.5,138.2,132.5,135.13,158792
2017-10-17 00:00:00+05:30,137.5,137.5,133.8,136.08,119426
2017-10-18 00:00:00+05:30,138.2,138.2,136.0,136.63,78540
2017-10-19 00:00:00+05:30,137.5,137.5,134.5,135.45,10134
2017-10-23 00:00:00+05:30,136.0,136.03,131.98,134.95,140808
2017-10-24 00:00:00+05:30,135.4,136.73,135.05,136.15,106636
2017-10-25 00:00:00+05:30,136.5,137.25,134.28,135.05,162408
2017-10-26 00:00:00+05:30,134.0,136.85,133.53,136.05,54408
2017-10-27 00:00:00+05:30,136.25,137.0,135.78,136.1,63390
2017-10-30 00:00:00+05:30,136.5,140.95,136.1,140.08,786960
2017-10-31 00:00:00+05:30,140.05,143.5,138.8,142.63,867446
2017-11-01 00:00:00+05:30,143.5,144.73,140.55,141.93,83236
2017-11-02 00:00:00+05:30,141.93,143.98,139.83,142.7,181304
2017-11-03 00:00:00+05:30,142.68,144.25,141.98,142.6,502576
2017-11-06 00:00:00+05:30,141.0,144.0,141.0,142.68,42112
2017-11-07 00:00:00+05:30,145.0,145.0,142.1,142.6,92738
2017-11-08 00:00:00+05:30,140.0,145.5,137.55,144.05,160606
2017-11-09 00:00:00+05:30,144.98,147.95,143.33,144.85,125308
2017-11-10 00:00:00+05:30,145.03,145.35,140.83,141.83,180370
2017-11-13 00:00:00+05:30,143.0,144.43,141.78,143.08,43074
2017-11-14 00:00:00+05:30,140.95,144.73,140.95,144.0,65540
2017-11-15 00:00:00+05:30,141.6,145.7,141.6,144.98,86864
2017-11-16 00:00:00+05:30,145.75,152.75,145.08,149.9,228948
2017-11-17 00:00:00+05:30,151.0,157.0,148.4,155.45,249132
2017-11-20 00:00:00+05:30,157.78,157.78,152.23,154.78,95506
2017-11-21 00:00:00+05:30,154.7,154.7,150.5,152.25,36508
2017-11-22 00:00:00+05:30,153.45,153.45,147.68,150.45,41276
2017-11-23 00:00:00+05:30,152.5,152.88,150.0,151.65,33164
2017-11-24 00:00:00+05:30,152.5,152.5,147.0,148.43,39706
2017-11-27 00:00:00+05:30,150.0,150.13,145.1,149.0,27844
2017-11-28 00:00:00+05:30,148.98,149.5,141.5,143.78,43628
2017-11-29 00:00:00+05:30,142.55,145.23,142.1,143.7,32564
2017-11-30 00:00:00+05:30,142.5,147.95,142.3,144.05,111720
2017-12-01 00:00:00+05:30,145.43,148.5,141.03,143.0,47822
2017-12-04 00:00:00+05:30,145.85,146.1,139.15,140.33,66694
2017-12-05 00:00:00+05:30,139.03,143.0,136.4,139.25,219718
2017-12-06 00:00:00+05:30,141.48,141.48,139.0,139.48,35686
2017-12-07 00:00:00+05:30,144.2,144.2,137.1,138.3,191508
2017-12-08 00:00:00+05:30,139.03,142.5,139.0,140.23,35998
2017-12-11 00:00:00+05:30,143.15,143.15,136.53,137.9,38128
2017-12-12 00:00:00+05:30,140.5,141.78,135.7,136.58,163524
2017-12-13 00:00:00+05:30,137.0,139.88,135.5,136.9,238984
2017-12-14 00:00:00+05:30,136.9,148.98,136.53,139.7,802336
2017-12-15 00:00:00+05:30,140.95,144.88,139.05,140.08,122840
2017-12-18 00:00:00+05:30,139.5,144.0,132.53,140.48,72148
2017-12-19 00:00:00+05:30,140.03,143.0,140.03,142.08,90882
2017-12-20 00:00:00+05:30,142.98,146.1,142.0,145.28,69390
2017-12-21 00:00:00+05:30,145.78,146.75,143.13,145.8,35082
2017-12-22 00:00:00+05:30,145.75,147.5,143.55,144.65,74740
2017-12-26 00:00:00+05:30,144.75,145.75,143.0,144.13,53750
2017-12-27 00:00:00+05:30,144.6,146.85,144.28,145.28,49660
2017-12-28 00:00:00+05:30,144.5,148.95,143.5,147.38,46616
2017-12-29 00:00:00+05:30,149.25,149.55,147.0,147.9,229328
2018-01-01 00:00:00+05:30,148.43,149.5,147.18,147.85,43630
2018-01-02 00:00:00+05:30,147.25,149.5,144.3,145.55,65812
2018-01-03 00:00:00+05:30,147.75,148.23,143.88,144.8,211806
2018-01-04 00:00:00+05:30,145.35,146.2,142.53,144.75,73484
2018-01-05 00:00:00+05:30,142.0,148.3,142.0,145.5,48146
2018-01-08 00:00:00+05:30,148.38,149.45,145.68,149.13,58652
2018-01-09 00:00:00+05:30,150.0,150.0,146.25,147.23,49484
2018-01-10 00:00:00+05:30,145.05,149.5,145.05,149.15,165326
2018-01-11 00:00:00+05:30,149.45,149.5,146.5,148.25,146556
2018-01-12 00:00:00+05:30,148.0,149.5,146.53,148.73,84518
2018-01-15 00:00:00+05:30,149.5,149.5,148.5,148.88,155912
2018-01-16 00:00:00+05:30,149.5,149.5,145.63,147.23,62316
2018-01-17 00:00:00+05:30,145.5,149.45,144.63,148.2,47674
2018-01-18 00:00:00+05:30,148.15,149.23,146.05,146.78,59076
2018-01-19 00:00:00+05:30,148.18,149.03,146.13,148.13,37360
2018-01-22 00:00:00+05:30,148.98,149.98,146.13,147.63,155480
2018-01-23 00:00:00+05:30,147.5,149.48,147.1,148.98,138036
2018-01-24 00:00:00+05:30,148.03,148.98,145.5,146.83,32162
2018-01-25 00:00:00+05:30,147.95,149.0,145.05,145.75,25924
2018-01-29 00:00:00+05:30,145.03,148.95,142.68,146.7,63488
2018-01-30 00:00:00+05:30,144.98,148.15,142.98,146.0,34150
2018-01-31 00:00:00+05:30,146.0,146.0,141.15,142.38,372458
2018-02-01 00:00:00+05:30,143.5,146.6,142.0,143.38,60792
2018-02-02 00:00:00+05:30,143.38,144.28,135.0,135.88,96236
2018-02-05 00:00:00+05:30,133.88,136.0,122.03,133.85,152016
2018-02-06 00:00:00+05:30,127.5,134.38,126.5,131.2,246144
2018-02-07 00:00:00+05:30,133.78,138.78,128.03,132.68,266170
2018-02-08 00:00:00+05:30,135.33,139.2,133.18,138.2,49312
2018-02-09 00:00:00+05:30,135.8,146.0,132.68,139.93,35620
2018-02-12 00:00:00+05:30,140.95,144.28,136.75,137.48,54978
2018-02-14 00:00:00+05:30,135.5,140.5,135.03,136.73,1192150
2018-02-15 00:00:00+05:30,136.73,142.45,135.88,141.18,70214
2018-02-16 00:00:00+05:30,141.53,146.93,141.53,144.15,257106
2018-02-19 00:00:00+05:30,146.93,146.93,140.13,141.98,81982
2018-02-20 00:00:00+05:30,140.5,144.48,135.3,139.0,80614
2018-02-21 00:00:00+05:30,138.98,139.98,136.5,137.58,42132
2018-02-22 00:00:00+05:30,137.65,137.65,135.3,136.43,44184
2018-02-23 00:00:00+05:30,135.73,139.48,134.53,135.4,219110
2018-02-26 00:00:00+05:30,138.9,141.0,135.05,139.35,103436
2018-02-27 00:00:00+05:30,139.25,139.25,135.63,136.6,87344
2018-02-28 00:00:00+05:30,137.9,137.9,132.5,133.53,156856
2018-03-01 00:00:00+05:30,133.1,135.33,132.68,133.5,74004
2018-03-05 00:00:00+05:30,134.5,134.5,128.5,128.73,106566
2018-03-06 00:00:00+05:30,128.75,131.0,128.25,128.45,52280
2018-03-07 00:00:00+05:30,130.35,130.35,125.75,126.5,254264
2018-03-08 00:00:00+05:30,127.88,128.2,125.03,127.15,50466
2018-03-09 00:00:00+05:30,127.1,129.18,125.5,126.25,98850
2018-03-12 00:00:00+05:30,127.6,127.98,126.0,126.53,35238
2018-03-13 00:00:00+05:30,126.53,128.0,125.93,126.48,27742
2018-03-14 00:00:00+05:30,128.38,128.45,124.78,126.88,30844
2018-03-15 00:00:00+05:30,125.65,127.5,124.98,125.73,222594
2018-03-16 00:00:00+05:30,127.48,127.48,124.0,124.25,65822
2018-03-19 00:00:00+05:30,125.1,125.1,122.0,122.43,47714
2018-03-20 00:00:00+05:30,121.5,129.0,121.2,127.48,218548
2018-03-21 00:00:00+05:30,128.95,130.5,124.5,126.4,101720
2018-03-22 00:00:00+05:30,127.38,127.38,122.25,123.53,51430
2018-03-23 00:00:00+05:30,121.0,123.3,120.28,121.68,47118
2018-03-26 00:00:00+05:30,120.0,121.35,117.75,119.78,87916
2018-03-27 00:00:00+05:30,119.88,121.38,119.33,119.85,59484
2018-03-28 00:00:00+05:30,120.0,121.98,117.55,119.65,54716
2018-04-02 00:00:00+05:30,120.0,121.5,119.0,119.88,108982
2018-04-03 00:00:00+05:30,120.48,128.5,120.48,126.53,102916
2018-04-04 00:00:00+05:30,127.9,129.5,124.0,125.18,72076
2018-04-05 00:00:00+05:30,123.63,127.68,123.63,125.83,105602
2018-04-06 00:00:00+05:30,125.83,125.88,123.83,124.4,39664
2018-04-09 00:00:00+05:30,123.5,125.95,122.8,124.33,121492
2018-04-10 00:00:00+05:30,124.5,128.75,123.8,127.88,37214
2018-04-11 00:00:00+05:30,126.55,129.2,126.0,126.45,34658
2018-04-12 00:00:00+05:30,127.28,130.75,127.13,129.48,65234
2018-04-13 00:00:00+05:30,129.9,132.48,127.6,129.78,68016
2018-04-16 00:00:00+05:30,127.15,130.7,127.15,129.25,32506
2018-04-17 00:00:00+05:30,127.3,130.0,127.3,129.43,39768
2018-04-18 00:00:00+05:30,129.58,130.65,127.5,128.63,51608
2018-04-19 00:00:00+05:30,128.03,132.45,126.25,131.63,52680
2018-04-20 00:00:00+05:30,131.63,133.93,126.35,132.75,48568
2018-04-23 00:00:00+05:30,132.5,135.5,130.0,135.05,49048
2018-04-24 00:00:00+05:30,135.18,135.18,133.0,133.75,35102
2018-04-25 00:00:00+05:30,136.9,136.9,125.13,128.1,148904
2018-04-26 00:00:00+05:30,127.5,133.95,127.5,131.33,71036
2018-04-27 00:00:00+05:30,141.2,144.95,134.05,134.85,797450
2018-04-30 00:00:00+05:30,135.95,136.08,133.5,134.43,64770
2018-05-02 00:00:00+05:30,135.0,135.5,131.08,132.5,75676
2018-05-03 00:00:00+05:30,131.03,132.63,130.53,131.08,139758
2018-05-04 00:00:00+05:30,131.5,132.5,128.55,129.88,57796
2018-05-07 00:00:00+05:30,130.48,132.5,129.05,130.7,75542
2018-05-08 00:00:00+05:30,133.4,133.4,129.65,132.45,206214
2018-05-09 00:00:00+05:30,132.45,132.5,130.13,130.45,46788
2018-05-10 00:00:00+05:30,129.0,132.25,128.5,128.88,46994
2018-05-11 00:00:00+05:30,130.18,130.18,125.3,126.6,61980
2018-05-14 00:00:00+05:30,128.25,131.0,125.93,128.93,35360
2018-05-15 00:00:00+05:30,130.0,132.75,128.95,131.93,40024
2018-05-16 00:00:00+05:30,131.5,132.45,128.48,130.95,32422
2018-05-17 00:00:00+05:30,130.98,132.48,127.3,129.1,97044
2018-05-18 00:00:00+05:30,128.98,130.0,126.65,128.13,38164
2018-05-21 00:00:00+05:30,128.13,128.13,124.5,127.1,46692
2018-05-22 00:00:00+05:30,130.0,130.0,126.18,127.53,24602
2018-05-23 00:00:00+05:30,128.68,128.68,124.53,126.4,28486
2018-05-24 00:00:00+05:30,126.5,129.25,125.08,127.5,49646
2018-05-25 00:00:00+05:30,125.55,130.5,125.55,127.98,23330
2018-05-28 00:00:00+05:30,130.5,133.3,129.0,129.9,71106
2018-05-29 00:00:00+05:30,129.0,129.9,126.5,128.73,42760
2018-05-30 00:00:00+05:30,128.0,129.5,127.5,128.33,46062
2018-05-31 00:00:00+05:30,126.18,127.5,125.53,126.3,52754
2018-06-01 00:00:00+05:30,126.3,127.9,126.03,126.8,26222
2018-06-04 00:00:00+05:30,129.5,129.5,126.05,127.33,101784
2018-06-05 00:00:00+05:30,128.65,128.65,124.0,124.58,56274
2018-06-06 00:00:00+05:30,124.5,124.55,121.5,122.9,33330
2018-06-07 00:00:00+05:30,126.35,129.25,125.35,127.95,85750
2018-06-08 00:00:00+05:30,129.88,129.88,127.55,128.43,43990
2018-06-11 00:00:00+05:30,128.58,129.95,128.55,129.38,65660
2018-06-12 00:00:00+05:30,130.0,130.0,124.5,124.95,108060
2018-06-13 00:00:00+05:30,125.93,125.93,123.25,123.98,146748
2018-06-14 00:00:00+05:30,125.0,125.0,123.63,124.95,45972
2018-06-15 00:00:00+05:30,124.95,125.0,124.03,124.6,47532
2018-06-18 00:00:00+05:30,125.0,125.05,122.03,122.6,157818
2018-06-19 00:00:00+05:30,122.6,124.8,121.43,123.4,111000
2018-06-20 00:00:00+05:30,124.0,129.0,120.0,120.95,129880
2018-06-21 00:00:00+05:30,124.9,124.9,118.05,120.95,57692
2018-06-22 00:00:00+05:30,121.3,121.3,117.05,118.5,18690
2018-06-25 00:00:00+05:30,118.5,121.0,117.05,118.35,19476
2018-06-26 00:00:00+05:30,118.3,121.3,116.5,119.7,18695
2018-06-27 00:00:00+05:30,119.7,120.15,117.6,118.95,48676
2018-06-28 00:00:00+05:30,118.6,119.95,115.65,118.2,28934
2018-06-29 00:00:00+05:30,118.15,130.0,115.8,118.35,78150
2018-07-02 00:00:00+05:30,117.6,119.3,114.5,115.0,40973
2018-07-03 00:00:00+05:30,115.0,116.25,110.0,111.6,52291
2018-07-04 00:00:00+05:30,111.15,112.1,108.25,109.55,218022
2018-07-05 00:00:00+05:30,109.8,112.85,107.4,108.7,26168
2018-07-06 00:00:00+05:30,108.7,111.9,107.5,108.1,73539
2018-07-09 00:00:00+05:30,108.35,115.1,108.35,111.85,103332
2018-07-10 00:00:00+05:30,110.55,113.9,109.7,112.8,113488
2018-07-11 00:00:00+05:30,112.8,113.9,111.0,112.25,90852
2018-07-12 00:00:00+05:30,113.85,114.45,110.1,111.15,60703
2018-07-13 00:00:00+05:30,110.1,112.35,103.4,105.15,117580
2018-07-16 00:00:00+05:30,104.0,106.0,104.0,104.75,35380
2018-07-17 00:00:00+05:30,106.7,106.7,102.1,104.55,33366
2018-07-18 00:00:00+05:30,104.55,115.1,104.0,111.7,267196
2018-07-19 00:00:00+05:30,110.0,110.0,106.0,106.4,60921
2018-07-20 00:00:00+05:30,108.4,108.4,104.05,104.55,45396
2018-07-23 00:00:00+05:30,104.75,106.4,103.5,104.0,52807
2018-07-24 00:00:00+05:30,109.9,109.9,104.0,105.15,176969
2018-07-25 00:00:00+05:30,106.25,109.7,104.4,105.4,94616
2018-07-26 00:00:00+05:30,106.25,108.25,105.25,106.75,67004
2018-07-27 00:00:00+05:30,108.65,110.95,105.7,106.55,86013
2018-07-30 00:00:00+05:30,107.8,107.8,105.0,105.5,46032
2018-07-31 00:00:00+05:30,105.5,107.0,103.4,104.15,72287
2018-08-01 00:00:00+05:30,106.0,106.0,104.0,104.5,28027
2018-08-02 00:00:00+05:30,107.8,111.0,105.55,107.05,95208
2018-08-03 00:00:00+05:30,108.3,108.3,106.2,106.9,49673
